dcho_id,dcho_keyword,cho_author
6714,Andromaca|De Chirico|Ettore,"De Chirico, Giorgio"
6717,eroi|Gorgone|Medusa|Sartorio,"Sartorio, Giulio Artistide"
6720,Amore|Psiche|Statua|Tenerani,"Tenerani, Pietro"
6723,Chirico|Sirene|Tritone,"De Chirico, Giorgio"
6726,Chirico|Prometeo,"De Chirico, Giorgio"
6729,Chirico|Pittura|Sfinge,"De Chirico, Giorgio"
6732,Centauri|Chirico|dipinto|Lotta,"De Chirico, Giorgio"
6735,Argonauti|De Chirico|Giasone|Partenza,"De Chirico, Giorgio"
6741,Andromaca|De Chirico|Ettore,"De Chirico, Giorgio"
6747,Chirico|inquietanti|Muse,"De Chirico, Giorgio"
6750,Argonauti|De Chirico|Giasone|Partenza,"De Chirico, Giorgio"
6753,De Chirico|Giove|Trofeo|Zeus,"De Chirico, Giorgio"
6756,Artemide|bosco|De Chirico|Diana,"De Chirico, Giorgio"
6760,Alcmena|bagnante|De Chirico|Eracle|Madre,"De Chirico, Giorgio"
6763,Cavallo|De Chirico|Paride,"De Chirico, Giorgio"
6766,caduta|De Chirico|Fetonte|Rubens,"De Chirico, Giorgio"
6769,De Chirico|Oreste|Pilade,"De Chirico, Giorgio"
6772,Chirico|Edipo|Sfinge,"De Chirico, Giorgio"
6775,Atena|Chirico|frutta,"De Chirico, Giorgio"
6778,Apollo|Cavalli|De Chirico,"De Chirico, Giorgio"
6781,Bronzo|Chirico|Muse,"De Chirico, Giorgio"
6784,Assenza|Chirico|Itaca|Penelope|Telemaco,"De Chirico, Giorgio"
6787,Afrodite|Anadiomene|Landolina|Siracusa|Venere,Autore sconosciuto
6790,Ciclope|Odisseo|Polifemo|Savinio,"Savinio, Alberto"
6793,Circe|Gallery Oldham|Inganno|Odisseo|Waterhouse,"Waterhouse, John William"
6796,Circe|veleno,"Waterhouse, John William"
6801,Casciaro|imbarcazione|Mar Mediterraneo|migranti|Nike-Vittoria,"Casciaro, Carlo"
6804,Boccioni|disegno|New York|Nike-Vittoria|pastello,"Boccioni, Umberto"
6807,Nike-Vittoria|Ridolfi|stucco,"Ridolfi, Bartolomeo"
6810,Nike-Vittoria|stemma araldico|Vittoria,"Vittoria, Alessandro"
6814,base|Dalì|doppia Nike di Samotracia|Nike-Vittoria|surrealismo,"Dalì, Salvador"
6817,Christie&#039;s|Dalì|Nike di samotracia|Nike-Vittoria|Oro|religione|Uovo,"Dalì, Salvador"
6821,Nike-Vittoria|Palazzolo|Street Art|Vittoria alata di Brescia,"Palazzolo, Marcello"
6825,concerto musicale|Gluecklich|musicisti|Nike di samotracia|Nike-Vittoria|notturno|pianoforte|stanza|violino|violoncello,"Gluecklich, Simon"
6828,ghiaccio|Nike di samotracia,
6831,Alloro|armatura|Barbari|Cavallo|Corona|Dioscuri|Giardino di Boboli|lancia|Nike-Vittoria|palmizio|prigionieri|spada,Autore sconosciuto
6833,Crono|Hurtrelle|Louvre|saturno|Saturno divora un figlio,"Hurtrelle, Simon"
6837,Attis|Bronzo|Cibele|enunco|Louvre|Statuetta,Autore sconosciuto
6840,Cavallo di Troia|disegno|Girodet de Roucy-Triosom|Guerra di troia|Louvre,"Girodet de Roucy-Triosom, Anne Louis"
6842,Alloro|Aquila|Corona|croce|Drake|Elmo|Nike-Vittoria,"Drake, Friedrich"
6845,David|funerali|Illiade|Louvre|Patroclo,"David, Jacques-Louis"
6848,Artemide|Diana|Endimione|Louvre|Seiter,"Seiter, Daniel"
6851,Aquila|Berlino|Cavalli|Corona|Nike-Vittoria|Quadriga|Schadow,"Schadow, Johann Gottfried"
